
=== 西瓜信息表 (watermelon_data) ===
设备编号	采集时间戳	糖度(Brix)	成熟度	信息
设备编号	采集时间戳	糖度(Brix)	成熟度	光谱数据
设备编号	采集时间戳	糖度(Brix)	成熟度	光谱数据
1001-01-01	1778347500	11.92	0.954	{"clr": 6995, "nir": 14990, "c415": 5995, "c445": 6095, "c480": 6195, "c515": 6295, "c555": 6395, "c595": 6495, "c640": 6595, "c680": 6695}
1001-01-01	1778347200	11.84	0.947	{"clr": 6990, "nir": 14980, "c415": 5990, "c445": 6090, "c480": 6190, "c515": 6290, "c555": 6390, "c595": 6490, "c640": 6590, "c680": 6690}
1001-01-01	1778346900	11.95	0.956	{"clr": 6985, "nir": 14970, "c415": 5985, "c445": 6085, "c480": 6185, "c515": 6285, "c555": 6385, "c595": 6485, "c640": 6585, "c680": 6685}
1001-01-01	1778346600	11.91	0.953	{"clr": 6980, "nir": 14960, "c415": 5980, "c445": 6080, "c480": 6180, "c515": 6280, "c555": 6380, "c595": 6480, "c640": 6580, "c680": 6680}
1001-01-01	1778346300	12.07	0.966	{"clr": 6975, "nir": 14950, "c415": 5975, "c445": 6075, "c480": 6175, "c515": 6275, "c555": 6375, "c595": 6475, "c640": 6575, "c680": 6675}
1001-01-01	1778346000	11.81	0.945	{"clr": 6970, "nir": 14940, "c415": 5970, "c445": 6070, "c480": 6170, "c515": 6270, "c555": 6370, "c595": 6470, "c640": 6570, "c680": 6670}
1001-01-01	1778345700	12.00	0.960	{"clr": 6965, "nir": 14930, "c415": 5965, "c445": 6065, "c480": 6165, "c515": 6265, "c555": 6365, "c595": 6465, "c640": 6565, "c680": 6665}
1001-01-01	1778345400	12.00	0.960	{"clr": 6960, "nir": 14920, "c415": 5960, "c445": 6060, "c480": 6160, "c515": 6260, "c555": 6360, "c595": 6460, "c640": 6560, "c680": 6660}
1001-01-01	1778345100	12.08	0.966	{"clr": 6955, "nir": 14910, "c415": 5955, "c445": 6055, "c480": 6155, "c515": 6255, "c555": 6355, "c595": 6455, "c640": 6555, "c680": 6655}
1001-01-01	1778344800	11.80	0.944	{"clr": 6950, "nir": 14900, "c415": 5950, "c445": 6050, "c480": 6150, "c515": 6250, "c555": 6350, "c595": 6450, "c640": 6550, "c680": 6650}
1001-01-01	1778344500	11.85	0.948	{"clr": 6945, "nir": 14890, "c415": 5945, "c445": 6045, "c480": 6145, "c515": 6245, "c555": 6345, "c595": 6445, "c640": 6545, "c680": 6645}
1001-01-01	1778344200	12.03	0.962	{"clr": 6940, "nir": 14880, "c415": 5940, "c445": 6040, "c480": 6140, "c515": 6240, "c555": 6340, "c595": 6440, "c640": 6540, "c680": 6640}
1001-01-01	1778343900	12.05	0.964	{"clr": 6935, "nir": 14870, "c415": 5935, "c445": 6035, "c480": 6135, "c515": 6235, "c555": 6335, "c595": 6435, "c640": 6535, "c680": 6635}
1001-01-01	1778343600	12.00	0.960	{"clr": 6930, "nir": 14860, "c415": 5930, "c445": 6030, "c480": 6130, "c515": 6230, "c555": 6330, "c595": 6430, "c640": 6530, "c680": 6630}
1001-01-01	1778343300	11.81	0.945	{"clr": 6925, "nir": 14850, "c415": 5925, "c445": 6025, "c480": 6125, "c515": 6225, "c555": 6325, "c595": 6425, "c640": 6525, "c680": 6625}
1001-01-01	1778343000	12.04	0.963	{"clr": 6920, "nir": 14840, "c415": 5920, "c445": 6020, "c480": 6120, "c515": 6220, "c555": 6320, "c595": 6420, "c640": 6520, "c680": 6620}
1001-01-01	1778342700	11.80	0.944	{"clr": 6915, "nir": 14830, "c415": 5915, "c445": 6015, "c480": 6115, "c515": 6215, "c555": 6315, "c595": 6415, "c640": 6515, "c680": 6615}
1001-01-01	1778342400	11.87	0.950	{"clr": 6910, "nir": 14820, "c415": 5910, "c445": 6010, "c480": 6110, "c515": 6210, "c555": 6310, "c595": 6410, "c640": 6510, "c680": 6610}
1001-01-01	1778342100	12.07	0.966	{"clr": 6905, "nir": 14810, "c415": 5905, "c445": 6005, "c480": 6105, "c515": 6205, "c555": 6305, "c595": 6405, "c640": 6505, "c680": 6605}
1001-01-01	1778341800	12.11	0.969	{"clr": 6900, "nir": 14800, "c415": 5900, "c445": 6000, "c480": 6100, "c515": 6200, "c555": 6300, "c595": 6400, "c640": 6500, "c680": 6600}
1001-01-01	1778341500	12.11	0.969	{"clr": 6895, "nir": 14790, "c415": 5895, "c445": 5995, "c480": 6095, "c515": 6195, "c555": 6295, "c595": 6395, "c640": 6495, "c680": 6595}
1001-01-01	1778341200	11.84	0.947	{"clr": 6890, "nir": 14780, "c415": 5890, "c445": 5990, "c480": 6090, "c515": 6190, "c555": 6290, "c595": 6390, "c640": 6490, "c680": 6590}
1001-01-01	1778340900	11.78	0.942	{"clr": 6885, "nir": 14770, "c415": 5885, "c445": 5985, "c480": 6085, "c515": 6185, "c555": 6285, "c595": 6385, "c640": 6485, "c680": 6585}
1001-01-01	1778340600	11.92	0.954	{"clr": 6880, "nir": 14760, "c415": 5880, "c445": 5980, "c480": 6080, "c515": 6180, "c555": 6280, "c595": 6380, "c640": 6480, "c680": 6580}
1001-01-01	1778340300	11.75	0.940	{"clr": 6875, "nir": 14750, "c415": 5875, "c445": 5975, "c480": 6075, "c515": 6175, "c555": 6275, "c595": 6375, "c640": 6475, "c680": 6575}
1001-01-01	1778340000	11.84	0.947	{"clr": 6870, "nir": 14740, "c415": 5870, "c445": 5970, "c480": 6070, "c515": 6170, "c555": 6270, "c595": 6370, "c640": 6470, "c680": 6570}
1001-01-01	1778339700	11.79	0.943	{"clr": 6865, "nir": 14730, "c415": 5865, "c445": 5965, "c480": 6065, "c515": 6165, "c555": 6265, "c595": 6365, "c640": 6465, "c680": 6565}
1001-01-01	1778339400	12.05	0.964	{"clr": 6860, "nir": 14720, "c415": 5860, "c445": 5960, "c480": 6060, "c515": 6160, "c555": 6260, "c595": 6360, "c640": 6460, "c680": 6560}
1001-01-01	1778339100	11.85	0.948	{"clr": 6855, "nir": 14710, "c415": 5855, "c445": 5955, "c480": 6055, "c515": 6155, "c555": 6255, "c595": 6355, "c640": 6455, "c680": 6555}
1001-01-01	1778338800	11.97	0.958	{"clr": 6850, "nir": 14700, "c415": 5850, "c445": 5950, "c480": 6050, "c515": 6150, "c555": 6250, "c595": 6350, "c640": 6450, "c680": 6550}
1001-01-01	1778338500	11.96	0.957	{"clr": 6845, "nir": 14690, "c415": 5845, "c445": 5945, "c480": 6045, "c515": 6145, "c555": 6245, "c595": 6345, "c640": 6445, "c680": 6545}
1001-01-01	1778338200	11.92	0.954	{"clr": 6840, "nir": 14680, "c415": 5840, "c445": 5940, "c480": 6040, "c515": 6140, "c555": 6240, "c595": 6340, "c640": 6440, "c680": 6540}
1001-01-01	1778337900	11.98	0.958	{"clr": 6835, "nir": 14670, "c415": 5835, "c445": 5935, "c480": 6035, "c515": 6135, "c555": 6235, "c595": 6335, "c640": 6435, "c680": 6535}
1001-01-01	1778337600	11.82	0.946	{"clr": 6830, "nir": 14660, "c415": 5830, "c445": 5930, "c480": 6030, "c515": 6130, "c555": 6230, "c595": 6330, "c640": 6430, "c680": 6530}
1001-01-01	1778337300	11.69	0.935	{"clr": 6825, "nir": 14650, "c415": 5825, "c445": 5925, "c480": 6025, "c515": 6125, "c555": 6225, "c595": 6325, "c640": 6425, "c680": 6525}
1001-01-01	1778337000	11.92	0.954	{"clr": 6820, "nir": 14640, "c415": 5820, "c445": 5920, "c480": 6020, "c515": 6120, "c555": 6220, "c595": 6320, "c640": 6420, "c680": 6520}
1001-01-01	1778336700	12.06	0.965	{"clr": 6815, "nir": 14630, "c415": 5815, "c445": 5915, "c480": 6015, "c515": 6115, "c555": 6215, "c595": 6315, "c640": 6415, "c680": 6515}
1001-01-01	1778336400	11.71	0.937	{"clr": 6810, "nir": 14620, "c415": 5810, "c445": 5910, "c480": 6010, "c515": 6110, "c555": 6210, "c595": 6310, "c640": 6410, "c680": 6510}
1001-01-01	1778336100	11.87	0.950	{"clr": 6805, "nir": 14610, "c415": 5805, "c445": 5905, "c480": 6005, "c515": 6105, "c555": 6205, "c595": 6305, "c640": 6405, "c680": 6505}
1001-01-01	1778335800	11.71	0.937	{"clr": 6800, "nir": 14600, "c415": 5800, "c445": 5900, "c480": 6000, "c515": 6100, "c555": 6200, "c595": 6300, "c640": 6400, "c680": 6500}
1001-01-01	1778335500	11.81	0.945	{"clr": 6795, "nir": 14590, "c415": 5795, "c445": 5895, "c480": 5995, "c515": 6095, "c555": 6195, "c595": 6295, "c640": 6395, "c680": 6495}
1001-01-01	1778335200	11.88	0.950	{"clr": 6790, "nir": 14580, "c415": 5790, "c445": 5890, "c480": 5990, "c515": 6090, "c555": 6190, "c595": 6290, "c640": 6390, "c680": 6490}
1001-01-01	1778334900	11.99	0.959	{"clr": 6785, "nir": 14570, "c415": 5785, "c445": 5885, "c480": 5985, "c515": 6085, "c555": 6185, "c595": 6285, "c640": 6385, "c680": 6485}
1001-01-01	1778334600	11.74	0.939	{"clr": 6780, "nir": 14560, "c415": 5780, "c445": 5880, "c480": 5980, "c515": 6080, "c555": 6180, "c595": 6280, "c640": 6380, "c680": 6480}
1001-01-01	1778334300	11.94	0.955	{"clr": 6775, "nir": 14550, "c415": 5775, "c445": 5875, "c480": 5975, "c515": 6075, "c555": 6175, "c595": 6275, "c640": 6375, "c680": 6475}
1001-01-01	1778334000	11.71	0.937	{"clr": 6770, "nir": 14540, "c415": 5770, "c445": 5870, "c480": 5970, "c515": 6070, "c555": 6170, "c595": 6270, "c640": 6370, "c680": 6470}
1001-01-01	1778333700	11.79	0.943	{"clr": 6765, "nir": 14530, "c415": 5765, "c445": 5865, "c480": 5965, "c515": 6065, "c555": 6165, "c595": 6265, "c640": 6365, "c680": 6465}
1001-01-01	1778333400	11.99	0.959	{"clr": 6760, "nir": 14520, "c415": 5760, "c445": 5860, "c480": 5960, "c515": 6060, "c555": 6160, "c595": 6260, "c640": 6360, "c680": 6460}
1001-01-01	1778333100	11.91	0.953	{"clr": 6755, "nir": 14510, "c415": 5755, "c445": 5855, "c480": 5955, "c515": 6055, "c555": 6155, "c595": 6255, "c640": 6355, "c680": 6455}
1001-01-01	1778332800	11.98	0.958	{"clr": 6750, "nir": 14500, "c415": 5750, "c445": 5850, "c480": 5950, "c515": 6050, "c555": 6150, "c595": 6250, "c640": 6350, "c680": 6450}
1001-01-01	1778332500	11.84	0.947	{"clr": 6745, "nir": 14490, "c415": 5745, "c445": 5845, "c480": 5945, "c515": 6045, "c555": 6145, "c595": 6245, "c640": 6345, "c680": 6445}
1001-01-01	1778332200	12.00	0.960	{"clr": 6740, "nir": 14480, "c415": 5740, "c445": 5840, "c480": 5940, "c515": 6040, "c555": 6140, "c595": 6240, "c640": 6340, "c680": 6440}
1001-01-01	1778331900	11.91	0.953	{"clr": 6735, "nir": 14470, "c415": 5735, "c445": 5835, "c480": 5935, "c515": 6035, "c555": 6135, "c595": 6235, "c640": 6335, "c680": 6435}
1001-01-01	1778331600	11.84	0.947	{"clr": 6730, "nir": 14460, "c415": 5730, "c445": 5830, "c480": 5930, "c515": 6030, "c555": 6130, "c595": 6230, "c640": 6330, "c680": 6430}
1001-01-01	1778331300	11.90	0.952	{"clr": 6725, "nir": 14450, "c415": 5725, "c445": 5825, "c480": 5925, "c515": 6025, "c555": 6125, "c595": 6225, "c640": 6325, "c680": 6425}
1001-01-01	1778331000	11.74	0.939	{"clr": 6720, "nir": 14440, "c415": 5720, "c445": 5820, "c480": 5920, "c515": 6020, "c555": 6120, "c595": 6220, "c640": 6320, "c680": 6420}
1001-01-01	1778330700	11.86	0.949	{"clr": 6715, "nir": 14430, "c415": 5715, "c445": 5815, "c480": 5915, "c515": 6015, "c555": 6115, "c595": 6215, "c640": 6315, "c680": 6415}
1001-01-01	1778330400	11.99	0.959	{"clr": 6710, "nir": 14420, "c415": 5710, "c445": 5810, "c480": 5910, "c515": 6010, "c555": 6110, "c595": 6210, "c640": 6310, "c680": 6410}
1001-01-01	1778330100	11.89	0.951	{"clr": 6705, "nir": 14410, "c415": 5705, "c445": 5805, "c480": 5905, "c515": 6005, "c555": 6105, "c595": 6205, "c640": 6305, "c680": 6405}
1001-01-01	1778329800	11.95	0.956	{"clr": 6700, "nir": 14400, "c415": 5700, "c445": 5800, "c480": 5900, "c515": 6000, "c555": 6100, "c595": 6200, "c640": 6300, "c680": 6400}
1001-01-01	1778329500	11.96	0.957	{"clr": 6695, "nir": 14390, "c415": 5695, "c445": 5795, "c480": 5895, "c515": 5995, "c555": 6095, "c595": 6195, "c640": 6295, "c680": 6395}
1001-01-01	1778329200	11.68	0.934	{"clr": 6690, "nir": 14380, "c415": 5690, "c445": 5790, "c480": 5890, "c515": 5990, "c555": 6090, "c595": 6190, "c640": 6290, "c680": 6390}
1001-01-01	1778328900	11.61	0.929	{"clr": 6685, "nir": 14370, "c415": 5685, "c445": 5785, "c480": 5885, "c515": 5985, "c555": 6085, "c595": 6185, "c640": 6285, "c680": 6385}
1001-01-01	1778328600	11.74	0.939	{"clr": 6680, "nir": 14360, "c415": 5680, "c445": 5780, "c480": 5880, "c515": 5980, "c555": 6080, "c595": 6180, "c640": 6280, "c680": 6380}
1001-01-01	1778328300	11.70	0.936	{"clr": 6675, "nir": 14350, "c415": 5675, "c445": 5775, "c480": 5875, "c515": 5975, "c555": 6075, "c595": 6175, "c640": 6275, "c680": 6375}
1001-01-01	1778328000	11.71	0.937	{"clr": 6670, "nir": 14340, "c415": 5670, "c445": 5770, "c480": 5870, "c515": 5970, "c555": 6070, "c595": 6170, "c640": 6270, "c680": 6370}
1001-01-01	1778327700	11.77	0.942	{"clr": 6665, "nir": 14330, "c415": 5665, "c445": 5765, "c480": 5865, "c515": 5965, "c555": 6065, "c595": 6165, "c640": 6265, "c680": 6365}
1001-01-01	1778327400	11.71	0.937	{"clr": 6660, "nir": 14320, "c415": 5660, "c445": 5760, "c480": 5860, "c515": 5960, "c555": 6060, "c595": 6160, "c640": 6260, "c680": 6360}
1001-01-01	1778327100	11.87	0.950	{"clr": 6655, "nir": 14310, "c415": 5655, "c445": 5755, "c480": 5855, "c515": 5955, "c555": 6055, "c595": 6155, "c640": 6255, "c680": 6355}
1001-01-01	1778326800	11.90	0.952	{"clr": 6650, "nir": 14300, "c415": 5650, "c445": 5750, "c480": 5850, "c515": 5950, "c555": 6050, "c595": 6150, "c640": 6250, "c680": 6350}
1001-01-01	1778326500	11.74	0.939	{"clr": 6645, "nir": 14290, "c415": 5645, "c445": 5745, "c480": 5845, "c515": 5945, "c555": 6045, "c595": 6145, "c640": 6245, "c680": 6345}
1001-01-01	1778326200	11.89	0.951	{"clr": 6640, "nir": 14280, "c415": 5640, "c445": 5740, "c480": 5840, "c515": 5940, "c555": 6040, "c595": 6140, "c640": 6240, "c680": 6340}
1001-01-01	1778325900	11.65	0.932	{"clr": 6635, "nir": 14270, "c415": 5635, "c445": 5735, "c480": 5835, "c515": 5935, "c555": 6035, "c595": 6135, "c640": 6235, "c680": 6335}
1001-01-01	1778325600	11.86	0.949	{"clr": 6630, "nir": 14260, "c415": 5630, "c445": 5730, "c480": 5830, "c515": 5930, "c555": 6030, "c595": 6130, "c640": 6230, "c680": 6330}
1001-01-01	1778325300	11.64	0.931	{"clr": 6625, "nir": 14250, "c415": 5625, "c445": 5725, "c480": 5825, "c515": 5925, "c555": 6025, "c595": 6125, "c640": 6225, "c680": 6325}
1001-01-01	1778325000	11.73	0.938	{"clr": 6620, "nir": 14240, "c415": 5620, "c445": 5720, "c480": 5820, "c515": 5920, "c555": 6020, "c595": 6120, "c640": 6220, "c680": 6320}
1001-01-01	1778324700	11.81	0.945	{"clr": 6615, "nir": 14230, "c415": 5615, "c445": 5715, "c480": 5815, "c515": 5915, "c555": 6015, "c595": 6115, "c640": 6215, "c680": 6315}
1001-01-01	1778324400	11.53	0.922	{"clr": 6610, "nir": 14220, "c415": 5610, "c445": 5710, "c480": 5810, "c515": 5910, "c555": 6010, "c595": 6110, "c640": 6210, "c680": 6310}
1001-01-01	1778324100	11.84	0.947	{"clr": 6605, "nir": 14210, "c415": 5605, "c445": 5705, "c480": 5805, "c515": 5905, "c555": 6005, "c595": 6105, "c640": 6205, "c680": 6305}
1001-01-01	1778323800	11.91	0.953	{"clr": 6600, "nir": 14200, "c415": 5600, "c445": 5700, "c480": 5800, "c515": 5900, "c555": 6000, "c595": 6100, "c640": 6200, "c680": 6300}
1001-01-01	1778323500	11.66	0.933	{"clr": 6595, "nir": 14190, "c415": 5595, "c445": 5695, "c480": 5795, "c515": 5895, "c555": 5995, "c595": 6095, "c640": 6195, "c680": 6295}
1001-01-01	1778323200	11.89	0.951	{"clr": 6590, "nir": 14180, "c415": 5590, "c445": 5690, "c480": 5790, "c515": 5890, "c555": 5990, "c595": 6090, "c640": 6190, "c680": 6290}
1001-01-01	1778322900	11.68	0.934	{"clr": 6585, "nir": 14170, "c415": 5585, "c445": 5685, "c480": 5785, "c515": 5885, "c555": 5985, "c595": 6085, "c640": 6185, "c680": 6285}
1001-01-01	1778322600	11.67	0.934	{"clr": 6580, "nir": 14160, "c415": 5580, "c445": 5680, "c480": 5780, "c515": 5880, "c555": 5980, "c595": 6080, "c640": 6180, "c680": 6280}
1001-01-01	1778322300	11.72	0.938	{"clr": 6575, "nir": 14150, "c415": 5575, "c445": 5675, "c480": 5775, "c515": 5875, "c555": 5975, "c595": 6075, "c640": 6175, "c680": 6275}
1001-01-01	1778322000	11.53	0.922	{"clr": 6570, "nir": 14140, "c415": 5570, "c445": 5670, "c480": 5770, "c515": 5870, "c555": 5970, "c595": 6070, "c640": 6170, "c680": 6270}
