device_id	collected_at	true_brix	server_brix	ch415	ch445	ch480	ch515	ch555	ch595	ch640	ch680	chClear	chNIR
1001-01-01	1779197226	11.5	15.20	3214	3922	4831	12171	17804	29421	23915	9719	51000	5386
1001-01-01	1779197254	11.5	16.01	2982	3725	4708	11769	17418	28833	23444	8805	51000	4910
1001-01-01	1779197270	11.5	15.93	3051	3322	3980	10784	15162	26570	22123	8589	51000	5066
1001-01-01	1779197279	11.5	12.98	3807	6609	7314	13849	20842	32155	26174	13261	51000	6780
1001-01-01	1779197283	11.5	14.55	2504	5507	5753	10458	16775	19556	21327	10393	44820	4810
1001-01-01	1779197286	11.5	13.43	3685	5499	6470	13618	20977	32858	26239	12559	51000	6422
1001-01-01	1779197288	11.5	13.44	3739	4838	6000	13829	20309	33508	27499	12187	51000	6418
1001-01-01	1779197293	11.5	15.78	3097	3412	4102	11142	16143	27723	23394	8721	51000	5116
1001-01-01	1779197295	11.5	16.28	2947	3299	4028	9288	12242	23036	15620	8363	51000	5208
1001-01-01	1779197300	11.5	16.29	2944	3520	4303	8834	11342	22644	15394	8143	51000	5258
1001-01-01	1779197306	11.5	17.87	2052	2862	3345	4776	5462	11241	6507	5384	42484	4260
1001-01-01	1779197324	11.5	15.92	2982	3704	4503	8596	11873	21800	12706	8697	51000	5758
1001-01-01	1779197329	11.5	15.43	3175	3536	4420	11000	14833	27345	20725	9245	51000	5428
1001-01-01	1779197334	11.5	14.56	1991	2927	3183	6707	8717	12874	15555	6546	34300	3990
1001-01-01	1779197339	11.5	13.64	3771	4717	6073	14553	19343	33714	29526	11967	51000	6094
1001-01-01	1779197343	11.5	13.95	3944	4696	6128	13994	18179	33543	24699	11487	51000	6145
1001-01-01	1779197347	11.5	9.83	5306	7709	9632	22451	31808	48740	49090	19644	51000	8544
1001-01-01	1779197350	11.5	9.08	6329	7168	10042	21760	26949	51000	42039	20187	51000	9925
1001-01-01	1779197354	11.5	11.90	4246	6522	7595	21651	31039	45323	49537	16860	51000	6305
1001-01-01	1779197359	11.5	9.50	5877	6939	9423	25511	36828	51000	51000	20479	51000	8895
1001-01-01	1779197362	11.5	14.80	3647	3515	5197	10081	12018	25360	16092	9431	51000	6342
1001-01-01	1779197367	11.5	15.58	3186	3603	4296	12555	17249	28663	27727	9338	51000	4908
1001-01-01	1779197369	11.5	18.24	2265	2336	2733	7253	9046	17235	12846	5648	45267	3754
1001-01-01	1779197373	11.5	16.00	3021	3451	4085	10421	14878	25634	20476	8528	51000	5120
1001-01-01	1779197378	11.5	14.98	3373	4141	5040	13113	17868	30298	27622	10087	51000	5278
1001-01-01	1779197381	11.5	11.50	4769	6152	7813	19999	27830	45963	42888	15768	51000	7255
1001-01-01	1779197384	11.5	12.52	4474	4482	6678	13798	17431	35166	22394	12606	51000	7782
1001-01-01	1779197394	11.5	16.43	2375	3142	3630	7246	10897	15840	12368	7491	45754	4710
1001-01-01	1779197397	11.5	14.81	2614	3853	4332	9801	15492	18497	23501	9150	46550	5062
1001-01-01	1779197401	11.5	11.19	4636	6012	7376	19486	28043	44205	45483	16453	51000	7391
1001-01-01	1779197405	11.5	7.44	6837	9342	12343	25510	38970	51000	44604	25538	51000	12053
1001-01-01	1779197411	11.5	12.81	3498	6315	6985	15112	26358	31832	34104	14678	51000	6281
1001-01-01	1779197420	11.5	6.97	7072	10429	13513	28936	43553	51000	51000	27715	51000	12238
1001-01-01	1779197439	11.5	12.93	3832	5399	6941	17799	24725	38098	38780	13860	51000	6078
1001-01-01	1779197445	11.5	16.14	2435	3679	4233	7587	11237	15719	13435	8016	47069	4922
1001-01-01	1779197452	11.5	15.76	2762	4103	5203	9869	14735	20844	17237	9627	51000	5253
1001-01-01	1779197456	11.5	14.71	2359	3699	4084	9183	13028	17393	20129	8027	41573	4680
1001-01-01	1779197460	11.5	12.54	3920	5574	7047	15294	23244	34826	33027	13548	51000	6885
1001-01-01	1779197464	11.5	15.84	2325	3723	4148	6798	9753	13786	11416	8085	45668	5072
1001-01-01	1779197468	11.5	14.93	1852	3254	3445	6226	8999	10757	12774	6284	34854	4152
1001-01-01	1779197471	11.5	15.19	2496	4240	4841	9149	14037	18221	19706	8611	45573	4894
1001-01-01	1779197485	11.5	17.60	2174	2690	3142	4838	5920	11072	7301	5703	45445	4752
1001-01-01	1779197491	11.5	16.49	2789	3391	4071	7799	10582	19522	12351	7942	51000	5426
1001-01-01	1779197494	11.5	15.52	2914	4067	4960	10633	16178	23515	22209	9271	51000	5270
1001-01-01	1779197498	11.5	16.03	2982	3197	3934	10325	14624	25083	21407	8285	51000	5100
1001-01-01	1779197502	11.5	16.14	1603	2185	2376	4224	4622	7608	7127	4537	30581	3492
1001-01-01	1779197506	11.5	15.96	2972	3262	3901	10034	14756	24881	20252	8450	51000	5200
1001-01-01	1779197509	11.5	13.87	3593	4612	5706	13284	19181	31863	26422	11251	51000	6223
1001-01-01	1779197514	11.5	15.78	2050	3625	4085	7226	9635	12266	11369	7019	39129	4242
1001-01-01	1779197518	11.5	16.55	2781	3163	3728	9734	14013	23071	19664	8107	51000	4788
1001-01-01	1779197566	11.5	17.60	2508	3377	3956	5982	7281	14013	9533	6949	51000	4936
1001-01-01	1779197598	11.5	18.44	2210	2901	3822	5911	6660	14631	9186	5629	47330	4174
1001-01-01	1779197606	11.5	17.80	2301	2351	2659	7653	10890	18830	15956	6039	45731	3826
1001-01-01	1779197614	11.5	13.86	3630	4291	5139	14476	21997	34232	29959	11766	51000	5954
1001-01-01	1779197617	11.5	12.15	4527	5891	7429	19143	26636	42804	43692	15342	51000	6477
1001-01-01	1779197620	11.5	9.83	5546	7158	9560	23521	34476	51000	49011	19531	51000	8638
1001-01-01	1779197795	11.5	10.03	5319	5598	8153	23511	38525	51000	50949	17886	51000	8736
1001-01-01	1779197799	11.5	17.35	2161	2319	2817	6298	8856	13745	11475	6064	43458	4084
1001-01-01	1779197805	11.5	13.13	4286	4680	6254	17477	22982	40516	36894	12906	51000	6131
1001-01-01	1779197811	11.5	13.40	4002	4859	6329	15338	21540	36284	30637	12604	51000	6189
1001-01-01	1779197816	11.5	15.77	2457	5416	5902	7892	10494	14744	13280	9230	47315	4907
1001-01-01	1779197821	11.5	14.77	3441	4554	5748	12199	17568	29365	22834	10675	51000	5606
1001-01-01	1779197826	11.5	15.36	1757	2751	3167	5551	7541	9490	9907	5671	31480	3588
1001-01-01	1779197829	11.5	13.98	3663	4784	6251	13089	19058	32002	25027	11591	51000	6094
1001-01-01	1779197847	11.5	18.13	2541	2669	3283	9276	12946	22962	19024	6629	50426	3924
1001-01-01	1779197852	11.5	17.29	2057	2167	2422	6900	9003	16497	13478	5435	39266	3522
1001-01-01	1779197862	11.5	14.98	1381	1658	1748	3631	4779	5919	7747	3608	23318	3004
